method,method_short,backbone,task,perturbation,gender,rcer
MedPathAgent,MPA,Llama 8B,resource,uncertain_tone,Unknown,0.0
MedPathAgent,MPA,Llama 8B,resource,uncertain_tone,All,0.0
MedPathAgent,MPA,Qwen 235B,manage,summary,M,8.695652173913043
MedPathAgent,MPA,Qwen 235B,manage,summary,F,14.035087719298245
MedPathAgent,MPA,Qwen 235B,manage,summary,Unknown,12.5
MedPathAgent,MPA,Qwen 235B,manage,summary,All,11.711711711711711
MedPathAgent,MPA,Qwen 235B,manage,gender_swap,M,0.0
MedPathAgent,MPA,Qwen 235B,manage,gender_swap,F,3.508771929824561
MedPathAgent,MPA,Qwen 235B,manage,gender_swap,Unknown,0.0
MedPathAgent,MPA,Qwen 235B,manage,gender_swap,All,1.2195121951219512
MedPathAgent,MPA,Qwen 235B,manage,uncertain_tone,M,2.0202020202020203
MedPathAgent,MPA,Qwen 235B,manage,uncertain_tone,F,3.508771929824561
MedPathAgent,MPA,Qwen 235B,manage,uncertain_tone,Unknown,0.0
MedPathAgent,MPA,Qwen 235B,manage,uncertain_tone,All,2.4390243902439024
MedPathAgent,MPA,Qwen 235B,visit,summary,M,4.444444444444445
MedPathAgent,MPA,Qwen 235B,visit,summary,F,18.333333333333332
MedPathAgent,MPA,Qwen 235B,visit,summary,Unknown,12.5
MedPathAgent,MPA,Qwen 235B,visit,summary,All,12.389380530973451
MedPathAgent,MPA,Qwen 235B,visit,gender_swap,M,0.9803921568627451
MedPathAgent,MPA,Qwen 235B,visit,gender_swap,F,3.3333333333333335
MedPathAgent,MPA,Qwen 235B,visit,gender_swap,Unknown,0.0
MedPathAgent,MPA,Qwen 235B,visit,gender_swap,All,1.7647058823529411
MedPathAgent,MPA,Qwen 235B,visit,uncertain_tone,M,3.9215686274509802
MedPathAgent,MPA,Qwen 235B,visit,uncertain_tone,F,5.0
MedPathAgent,MPA,Qwen 235B,visit,uncertain_tone,Unknown,0.0
MedPathAgent,MPA,Qwen 235B,visit,uncertain_tone,All,4.117647058823529
MedPathAgent,MPA,Qwen 235B,resource,summary,M,2.272727272727273
MedPathAgent,MPA,Qwen 235B,resource,summary,F,5.555555555555555
MedPathAgent,MPA,Qwen 235B,resource,summary,Unknown,0.0
MedPathAgent,MPA,Qwen 235B,resource,summary,All,3.8461538461538463
MedPathAgent,MPA,Qwen 235B,resource,gender_swap,M,0.0
MedPathAgent,MPA,Qwen 235B,resource,gender_swap,F,1.8518518518518516
MedPathAgent,MPA,Qwen 235B,resource,gender_swap,Unknown,0.0
MedPathAgent,MPA,Qwen 235B,resource,gender_swap,All,0.6211180124223602
MedPathAgent,MPA,Qwen 235B,resource,uncertain_tone,M,3.9603960396039604
MedPathAgent,MPA,Qwen 235B,resource,uncertain_tone,F,1.8518518518518516
MedPathAgent,MPA,Qwen 235B,resource,uncertain_tone,Unknown,0.0
MedPathAgent,MPA,Qwen 235B,resource,uncertain_tone,All,3.1055900621118013
