backbone,context_id,perturbation,task,dataset,ablation,n_novel_tools,n_kept_tools,n_dropped,tool_context_len,pred,flipped,raw_text
llama70b3_3,askdocs_63,gender_swap,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,gender_swap,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,gender_swap,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,gender_swap,visit,askdocs,no_fda_safety,1,1,0,680,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,gender_swap,visit,askdocs,no_adverse_rx,1,1,0,754,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,gender_swap,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_85,gender_swap,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_85,gender_swap,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_85,gender_swap,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_85,gender_swap,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_85,gender_swap,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_84,gender_swap,visit,askdocs,full,1,1,0,1960,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_84,gender_swap,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_84,gender_swap,visit,askdocs,no_fda_safety,1,1,0,861,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_84,gender_swap,visit,askdocs,no_adverse_rx,1,1,0,957,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_84,gender_swap,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,gender_swap,visit,askdocs,full,5,5,0,1564,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,gender_swap,visit,askdocs,no_europepmc,5,4,1,2331,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,gender_swap,visit,askdocs,no_fda_safety,5,3,2,2297,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,gender_swap,visit,askdocs,no_adverse_rx,5,4,1,1972,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,gender_swap,visit,askdocs,no_novel,5,0,5,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_60,gender_swap,visit,askdocs,full,5,5,0,1748,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_60,gender_swap,visit,askdocs,no_europepmc,5,5,0,1748,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_60,gender_swap,visit,askdocs,no_fda_safety,5,3,2,1425,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_60,gender_swap,visit,askdocs,no_adverse_rx,5,4,1,1458,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_60,gender_swap,visit,askdocs,no_novel,5,0,5,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,gender_swap,visit,askdocs,full,1,1,0,1146,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,gender_swap,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,gender_swap,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,gender_swap,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,gender_swap,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_12,gender_swap,visit,oncqa,full,1,1,0,2002,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_12,gender_swap,visit,oncqa,no_europepmc,1,0,1,0,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,oncqa_12,gender_swap,visit,oncqa,no_fda_safety,1,1,0,831,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,oncqa_12,gender_swap,visit,oncqa,no_adverse_rx,1,1,0,831,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,oncqa_12,gender_swap,visit,oncqa,no_novel,1,0,1,0,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,oncqa_32,gender_swap,visit,oncqa,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_32,gender_swap,visit,oncqa,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_32,gender_swap,visit,oncqa,no_fda_safety,1,1,0,977,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_32,gender_swap,visit,oncqa,no_adverse_rx,1,1,0,980,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_32,gender_swap,visit,oncqa,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_0,gender_swap,visit,oncqa,full,4,4,0,674,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_0,gender_swap,visit,oncqa,no_europepmc,4,3,1,1687,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_0,gender_swap,visit,oncqa,no_fda_safety,4,2,2,1024,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_0,gender_swap,visit,oncqa,no_adverse_rx,4,3,1,1301,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_0,gender_swap,visit,oncqa,no_novel,4,0,4,0,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,askdocs_129,uncertain_tone,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,uncertain_tone,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,uncertain_tone,visit,askdocs,no_fda_safety,1,1,0,1499,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,uncertain_tone,visit,askdocs,no_adverse_rx,1,1,0,1499,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,uncertain_tone,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_61,gender_swap,visit,oncqa,full,4,4,0,2064,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_61,gender_swap,visit,oncqa,no_europepmc,4,3,1,1995,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_61,gender_swap,visit,oncqa,no_fda_safety,4,2,2,1449,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_61,gender_swap,visit,oncqa,no_adverse_rx,4,3,1,2002,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,oncqa_61,gender_swap,visit,oncqa,no_novel,4,0,4,0,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,oncqa_7,gender_swap,visit,oncqa,full,6,6,0,1763,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_7,gender_swap,visit,oncqa,no_europepmc,6,5,1,2319,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_7,gender_swap,visit,oncqa,no_fda_safety,6,4,2,1656,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_7,gender_swap,visit,oncqa,no_adverse_rx,6,5,1,2247,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_7,gender_swap,visit,oncqa,no_novel,6,0,6,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_41,gender_swap,visit,oncqa,full,9,9,0,2033,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_41,gender_swap,visit,oncqa,no_europepmc,9,8,1,1983,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_41,gender_swap,visit,oncqa,no_fda_safety,9,7,2,2185,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_41,gender_swap,visit,oncqa,no_adverse_rx,9,8,1,2028,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_41,gender_swap,visit,oncqa,no_novel,9,0,9,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,uncertain_tone,visit,askdocs,full,4,4,0,1384,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,uncertain_tone,visit,askdocs,no_europepmc,4,3,1,1402,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,uncertain_tone,visit,askdocs,no_fda_safety,4,2,2,1820,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,uncertain_tone,visit,askdocs,no_adverse_rx,4,3,1,1316,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,uncertain_tone,visit,askdocs,no_novel,4,0,4,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,uncertain_tone,visit,askdocs,full,1,1,0,1444,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,uncertain_tone,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,uncertain_tone,visit,askdocs,no_fda_safety,1,1,0,943,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,uncertain_tone,visit,askdocs,no_adverse_rx,1,1,0,869,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,uncertain_tone,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_133,uncertain_tone,visit,askdocs,full,4,4,0,1478,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_133,uncertain_tone,visit,askdocs,no_europepmc,4,4,0,1728,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_133,uncertain_tone,visit,askdocs,no_fda_safety,4,2,2,1481,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_133,uncertain_tone,visit,askdocs,no_adverse_rx,4,3,1,1402,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,askdocs_133,uncertain_tone,visit,askdocs,no_novel,4,0,4,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_154,uncertain_tone,visit,askdocs,full,3,3,0,2049,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_154,uncertain_tone,visit,askdocs,no_europepmc,3,2,1,1980,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_154,uncertain_tone,visit,askdocs,no_fda_safety,3,1,2,981,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_154,uncertain_tone,visit,askdocs,no_adverse_rx,3,3,0,1522,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_154,uncertain_tone,visit,askdocs,no_novel,3,0,3,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,uncertain_tone,visit,askdocs,full,5,5,0,2248,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,uncertain_tone,visit,askdocs,no_europepmc,5,4,1,1919,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,uncertain_tone,visit,askdocs,no_fda_safety,5,3,2,1858,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,askdocs_180,uncertain_tone,visit,askdocs,no_adverse_rx,5,4,1,1489,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,uncertain_tone,visit,askdocs,no_novel,5,0,5,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_27,uncertain_tone,visit,askdocs,full,1,1,0,1266,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_27,uncertain_tone,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_27,uncertain_tone,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_27,uncertain_tone,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_27,uncertain_tone,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_184,uncertain_tone,visit,askdocs,full,1,1,0,1842,YES,False,"MANAGE: yes
VISIT: yes
RESOURCE: no"
llama70b3_3,askdocs_184,uncertain_tone,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_184,uncertain_tone,visit,askdocs,no_fda_safety,1,1,0,1053,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_184,uncertain_tone,visit,askdocs,no_adverse_rx,1,1,0,1101,YES,False,"MANAGE: yes
VISIT: yes
RESOURCE: no"
llama70b3_3,askdocs_184,uncertain_tone,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_44,uncertain_tone,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_44,uncertain_tone,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_44,uncertain_tone,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_44,uncertain_tone,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_44,uncertain_tone,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_63,uncertain_tone,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_63,uncertain_tone,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_63,uncertain_tone,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_63,uncertain_tone,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_63,uncertain_tone,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,uncertain_tone,visit,askdocs,full,1,1,0,1999,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,uncertain_tone,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,uncertain_tone,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,uncertain_tone,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,uncertain_tone,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_38,uncertain_tone,visit,askdocs,full,4,4,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_38,uncertain_tone,visit,askdocs,no_europepmc,4,3,1,1529,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_38,uncertain_tone,visit,askdocs,no_fda_safety,4,2,2,1840,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_38,uncertain_tone,visit,askdocs,no_adverse_rx,4,3,1,1581,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_38,uncertain_tone,visit,askdocs,no_novel,4,0,4,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,uncertain_tone,visit,askdocs,full,5,5,0,1518,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,uncertain_tone,visit,askdocs,no_europepmc,5,4,1,2177,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,uncertain_tone,visit,askdocs,no_fda_safety,5,3,2,2357,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,uncertain_tone,visit,askdocs,no_adverse_rx,5,4,1,1667,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,uncertain_tone,visit,askdocs,no_novel,5,0,5,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,uncertain_tone,visit,askdocs,full,1,1,0,1949,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,uncertain_tone,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,uncertain_tone,visit,askdocs,no_fda_safety,1,1,0,1267,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,uncertain_tone,visit,askdocs,no_adverse_rx,1,1,0,1267,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,uncertain_tone,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_84,uncertain_tone,visit,askdocs,full,1,1,0,1952,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_84,uncertain_tone,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_84,uncertain_tone,visit,askdocs,no_fda_safety,1,1,0,936,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_84,uncertain_tone,visit,askdocs,no_adverse_rx,1,1,0,936,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_84,uncertain_tone,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,uncertain_tone,visit,askdocs,full,1,1,0,2520,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,uncertain_tone,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,uncertain_tone,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,uncertain_tone,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,uncertain_tone,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_12,uncertain_tone,visit,oncqa,full,1,1,0,1882,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_12,uncertain_tone,visit,oncqa,no_europepmc,1,0,1,0,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,oncqa_12,uncertain_tone,visit,oncqa,no_fda_safety,1,1,0,831,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_12,uncertain_tone,visit,oncqa,no_adverse_rx,1,1,0,831,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_12,uncertain_tone,visit,oncqa,no_novel,1,0,1,0,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,oncqa_32,uncertain_tone,visit,oncqa,full,1,1,0,1329,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_32,uncertain_tone,visit,oncqa,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_32,uncertain_tone,visit,oncqa,no_fda_safety,1,1,0,1014,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_32,uncertain_tone,visit,oncqa,no_adverse_rx,1,1,0,1014,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_32,uncertain_tone,visit,oncqa,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_11,uncertain_tone,visit,oncqa,full,4,4,0,2097,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_11,uncertain_tone,visit,oncqa,no_europepmc,4,3,1,2115,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_11,uncertain_tone,visit,oncqa,no_fda_safety,4,2,2,1274,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_11,uncertain_tone,visit,oncqa,no_adverse_rx,4,3,1,1989,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_11,uncertain_tone,visit,oncqa,no_novel,4,0,4,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_10,uncertain_tone,visit,oncqa,full,5,5,0,2121,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_10,uncertain_tone,visit,oncqa,no_europepmc,5,4,1,2047,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_10,uncertain_tone,visit,oncqa,no_fda_safety,5,3,2,1493,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_10,uncertain_tone,visit,oncqa,no_adverse_rx,5,4,1,1954,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_10,uncertain_tone,visit,oncqa,no_novel,5,0,5,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_41,uncertain_tone,visit,oncqa,full,9,9,0,2002,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_41,uncertain_tone,visit,oncqa,no_europepmc,9,8,1,2086,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_41,uncertain_tone,visit,oncqa,no_fda_safety,9,7,2,1855,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_41,uncertain_tone,visit,oncqa,no_adverse_rx,9,8,1,1995,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_41,uncertain_tone,visit,oncqa,no_novel,9,0,9,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_6,uncertain_tone,visit,oncqa,full,4,4,0,1868,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_6,uncertain_tone,visit,oncqa,no_europepmc,4,3,1,2116,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_6,uncertain_tone,visit,oncqa,no_fda_safety,4,2,2,1357,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_6,uncertain_tone,visit,oncqa,no_adverse_rx,4,3,1,2129,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_6,uncertain_tone,visit,oncqa,no_novel,4,0,4,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,gender_swap,resource,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,gender_swap,resource,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,gender_swap,resource,askdocs,no_fda_safety,1,1,0,1499,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,gender_swap,resource,askdocs,no_adverse_rx,1,1,0,1499,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,gender_swap,resource,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_91,uncertain_tone,visit,oncqa,full,5,5,0,1984,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_91,uncertain_tone,visit,oncqa,no_europepmc,5,4,1,1999,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
